事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
上海工人连续举行三次武装起义,,中共中央和上海区委组织上海工人连续举行三次武装起义。1927年3月21日，第三次武装起义在陈独秀、罗亦农、赵世炎、周恩来等组成的特别委员会直接领导下（周恩来任起义总指挥）取得胜利。22日，成立上海特别市临时市政府。,1926年10月－1927年3月,上海,运动事件,"陈独秀,罗亦农,赵世炎,周恩来,李立三",,,,,,,,,,
《湖南农民运动考察报告》发表,, 毛泽东发表《湖南农民运动考察报告》,1927年3月,,文献事件,毛泽东,,,,,,,,,,
四一二反革命政变,,蒋介石在上海发动四一二反革命政变。这是大革命从高潮走向失败的转折点。在此前后，四川、江苏、浙江、安徽、福建、广西、广东等省相继以“清党”为名，大规模捕杀共产党员和革命群众。杨闇公、陈延年、赵世炎、萧楚女、熊雄等共产党人被杀害。,1927年4月12日,上海,战役事件,"蒋介石,杨闇公,陈延年,赵世炎,萧楚女,熊雄",,,,,,,,,,
中国共产党第五次全国代表大会召开,,大会选举产生中央委员会和党的历史上第一个中央纪律检查监督机构——中央监察委员会。根据大会要求，会后，中央政治局会议通过修改党章的决议，正式提出党内实行民主集中制的组织原则。,1927年4月27日－1927年5月9日,武汉,会议事件,,,民主集中制的组织原则,,,,,,,,
民主集中制的组织原则提出,,大会选举产生中央委员会和党的历史上第一个中央纪律检查监督机构——中央监察委员会。根据大会要求，会后，中央政治局会议通过修改党章的决议，正式提出党内实行民主集中制的组织原则。,1927年4月27日－1927年5月9日,,决策事件,,,,,,,,,,,
国民党中央常务委员会扩大会议召开,,汪精卫召开国民党中央常务委员会扩大会议，以“分共”的名义，正式同共产党决裂，对共产党员和革命群众实行大逮捕、大屠杀。国共合作全面破裂，国共两党合作发动的大革命宣告失败。据不完全统计，从1927年3月至1928年上半年，被杀害的共产党员和革命群众达31万多人。,1927年7月15日,,会议事件,汪精卫,,,,,,,,,,
南昌起义,八一起义,在以周恩来为书记的中共中央前敌委员会领导下，贺龙、叶挺、朱德、刘伯承等率领党所掌握和影响的军队两万余人，在江西南昌打响武装反抗国民党反动派的第一枪。南昌起义标志着中国共产党独立领导革命战争、创建人民军队和武装夺取政权的开端，开启了中国革命新纪元。1933年6月30日，中华苏维埃共和国中央革命军事委员会决定以发动南昌起义的8月1日为中国工农红军成立纪念日。7月11日，中华苏维埃共和国临时中央政府予以批准。此后，8月1日成为人民军队建军纪念日。,1927年8月1日,江西,运动事件,"周恩来,贺龙,叶挺,朱德,刘伯承,李立三,萧克",人民解放军,,,,,,,,,
八七会议,,会议着重批评了大革命后期以陈独秀为首的中央所犯的右倾机会主义错误，确定了土地革命和武装反抗国民党反动派的总方针。这是由大革命失败到土地革命战争兴起的历史性转变。会议选出以瞿秋白为首的中央临时政治局。,1927年8月7日,湖北汉口,会议事件,"瞿秋白,毛泽东",中央临时政治局,抢杠子中出政权,,,,,,,,
中国共产党临时中央政治局成立（第一次）,,,1927年8月7日,,成立事件,"瞿秋白,毛泽东",,,,,,,,,,
土地革命和武装反抗国民党反动派的总方针的确定,,会议着重批评了大革命后期以陈独秀为首的中央所犯的右倾机会主义错误，确定了土地革命和武装反抗国民党反动派的总方针。这是由大革命失败到土地革命战争兴起的历史性转变。会议选出以瞿秋白为首的中央临时政治局。,1927年8月7日,湖北汉口,决策事件,瞿秋白,,,,,,,,,,
秋收起义,,以毛泽东为书记的中共湖南省委前敌委员会，领导工农革命军第一师发动湘赣边界秋收起义。29日，起义军到达江西永新三湾村时进行改编，将党的支部建在连上，从组织上确立了党对军队的领导，这是建设无产阶级领导的新型人民军队的重要开端。10月，起义军到达井冈山，开始创建农村革命根据地的斗争。,1927年9月9日,"湖南,江西",运动事件,毛泽东,"农民自卫军,工人纠察队,革命士兵",农村包围城市、武装夺取政权的革命新道路,,,,,,,,
中央临时政治局会议召开,,中央临时政治局会议通过《关于“左派国民党”及苏维埃口号问题决议案》，决定不再打国民党的旗帜并成立苏维埃。,1927年9月19日,,会议事件,,,,,,,,,,,
《布尔塞维克》创刊,,中共中央机关刊物《布尔塞维克》创刊。土地革命战争时期，中共中央还创办了《红旗》、《斗争》、《解放》等报刊。,1927年10月,上海,成立事件,,,,,,,,,,,
中央临时政治局扩大会议召开,,中央临时政治局在上海召开扩大会议，提出以城市为中心举行全国武装暴动的策略。在实际工作中造成许多损失。1928年4月，停止执行。,1927年11月9日－1927年11月10日,上海,会议事件,,,,,,,,,,,
广州起义,,中共广东省委书记张太雷和叶挺、叶剑英等领导发动广州起义，成立广州苏维埃政府。但终因敌众我寡而失败，张太雷等牺牲。,1927年12月11日,广州,运动事件,叶挺,,,,,,,,,,
广州苏维埃政府成立,,中共广东省委书记张太雷和叶挺、叶剑英等领导发动广州起义，成立广州苏维埃政府。但终因敌众我寡而失败，张太雷等牺牲。,1927年12月11日,广州,成立事件,,广州苏维埃政府,,,,,,,,,
中国共产党第六次全国代表大会召开,,大会指出，中国仍然是一个半殖民地半封建的国家，中国革命现阶段的性质是资产阶级民主革命；当前中国的政治形势是处于两个革命高潮之间；党的总路线是争取群众。大会选举产生新的中央委员会并选举产生中央审查委员会。,1928年6月18日－1928年7月11日,苏联莫斯科,会议事件,,,,,,,,,,,
湘赣边界党的第二次代表大会,,湘赣边界党的第二次代表大会通过由毛泽东起草的决议案，提出工农武装割据的思想。1930年1月，毛泽东在给林彪的复信（后改为《星星之火，可以燎原》）中，提出把党的工作重心由城市转到农村，开始形成农村包围城市、武装夺取政权的思想。,1928年10月4日-1928年10月6日,江西宁冈县,会议事件,,,工农武装割据的思想,,,,,,,,
工农武装割据的思想提出,,湘赣边界党的第二次代表大会通过由毛泽东起草的决议案，提出工农武装割据的思想。1930年2月，毛泽东在给林彪的复信（后改为《星星之火，可以燎原》）中，提出把党的工作重心由城市转到农村，开始形成农村包围城市、武装夺取政权的思想。,1928年10月5日,江西宁冈县,决策事件,,,,,,,,,,,
赣南、闽西革命根据地开辟,,毛泽东、朱德、陈毅率领红四军主力离开井冈山，进军赣南。相继开辟赣南、闽西革命根据地。后来这两块根据地连成一片，以其为中心发展为中央革命根据地（中央苏区）。到1931年11月，全国已形成中央、湘鄂西、鄂豫皖、琼崖、赣东北（后发展为闽浙赣）、湘鄂赣、湘赣、右江等革命根据地。后来又建立了川陕、陕甘、湘鄂川黔、鄂豫陕、闽东等革命根据地。在革命根据地的创建和发展中，形成了以坚定信念、求真务实、一心为民、清正廉洁、艰苦奋斗、争创一流、无私奉献等为主要内涵的苏区精神。,1929年1月,,运动事件,"毛泽东,朱德,陈毅",红四军,形成了以坚定信念、求真务实、一心为民、清正廉洁、艰苦奋斗、争创一流、无私奉献等为主要内涵的苏区精神,,,,,,,,
党的第九次代表大会召开,古田会议,毛泽东当选为中共红四军前敌委员会书记。会议根据中央九月来信精神，通过毛泽东起草的古田会议决议，其中最重要的是关于纠正党内的错误思想的决议案，确立了思想建党、政治建军的原则。古田会议决议是中国共产党和红军建设的纲领性文献，是党和人民军队建设史上的重要里程碑。古田会议奠基的军队政治工作对军队生存发展起到了决定性作用。,1929年12月28日－1929年12月29日,福建,会议事件,"毛泽东,朱德",中国工农红军,,,,,,,,,
中国左翼作家联盟成立,,在中国共产党领导和推动下，中国左翼作家联盟在上海成立。随后中国社会科学家、戏剧家、美术家、教育家联盟以及电影、音乐小组等左翼文化团体相继成立。10月，各左翼文化团体组成中国左翼文化总同盟。共产党领导的左翼文化运动在国民党统治区兴起。,1930年3月,上海,成立事件,,,,,,,,,,,
《调查工作》,《反对本本主义》,,1930年5月,,文献事件,毛泽东,,“没有调查，没有发言权”,,,,,,,,
中原大战,,,1930年5月-11月4日,"河南,山东,安徽,河北,湖北",战役事件,"蒋介石,阎锡山,冯玉祥,李宗仁",,,,,,,,,,
《新的革命高潮与一省或几省首先胜利》决议,,中央政治局会议通过李立三起草的《新的革命高潮与一省或几省首先胜利》决议，形成系统的“左”倾冒险主张。不久，又制定全国总暴动和集中全国红军进攻中心城市的计划，使各地革命力量遭到不同程度的损失。9月，中共扩大的六届三中全会停止了这一冒险行动。,1930年6月11日,,文献事件,,中央政治局,形成系统的“左”倾冒险主张,,,,,,,,
红军第一军团成立,,红军第一军团成立，朱德任总指挥，毛泽东任政治委员兼前委书记。,1930年6月,福建,成立事件,"朱德,毛泽东",,,,,,,,,,
红军第三军团成立,,同月，红军第三军团成立，彭德怀任总指挥兼前委书记，滕代远任政治委员。,1930年6月,湖南,成立事件,"彭德怀,滕代远",,,,,,,,,,
红军第二军团成立,,7月，红军第二军团成立，贺龙任总指挥，周逸群任政治委员兼前委书记。,1930年7月,湖北,成立事件,"贺龙,周逸群",,,,,,,,,,
红军第一方面军成立,,红军第一方面军成立，朱德任总司令，毛泽东任总前委书记兼总政治委员。,1930年8月23日,湖南,成立事件,"朱德,毛泽东",,,,,,,,,,
中共扩大的六届四中全会召开,,中共扩大的六届四中全会在上海召开。王明（陈绍禹）实际掌握了中共中央的领导权。以王明为代表的“左”倾教条主义错误在党的领导机关内开始了长达四年的统治。,1931年1月7日,上海,会议事件,王明,,“左”倾教条主义错误,,,,,,,,
中国共产党临时中央政治局成立（第二次）,,9月，王明到莫斯科担任中共驻共产国际代表，临时中央在上海成立，由博古（秦邦宪）负总责。1933年1月，临时中央被迫由上海迁至中央革命根据地的瑞金。,1931年9月15日,上海,成立事件,博古,,,,,,,,,,
九一八事变,奉天事变、柳条湖事件,日本帝国主义制造九一八事变，开始大举侵占中国东北。东北各阶层人民和爱国官兵纷纷组织抗日义勇军等各种形式的抗日队伍。中国共产党在抗日义勇军中积极开展工作，并组织党领导下的抗日武装。从1932年起，党先后组织了由汉、满、朝鲜、蒙古、回等民族爱国志士参加的十余支抗日游击队，逐渐成为东北抗日游击战争的主力，并发展为东北人民革命军、东北抗日同盟军等武装。九一八事变后，中国人民奋起抵抗，成为中国人民抗日战争的起点，同时揭开了世界反法西斯战争的序幕。,1931年9月18日,沈阳,战役事件,张学良,,,,,,,,,,
抗日战争,,,1931年9月18日 - 1945年9月2日,,战役事件,"白崇禧,蒋介石,李宗仁,毛泽东,朱德",国民革命军,,,,,,,,,
红军第四方面军成立,,,1931年11月7日,湖北,成立事件,"徐向前,陈昌浩",,,,,,,,,,
中华苏维埃第一次全国代表大会召开,,中华苏维埃第一次全国代表大会在江西瑞金召开，宣布成立中华苏维埃共和国临时中央政府。,1931年11月7日－1931年11月20日,江西瑞金,会议事件,,,,,,,,,,,
中华苏维埃共和国临时中央政府成立,,中华苏维埃第一次全国代表大会在江西瑞金召开，宣布成立中华苏维埃共和国临时中央政府。,1931年11月,江西瑞金,成立事件,,,,,,,,,,,
中华苏维埃共和国中央革命军事委员会成立,,25日，中华苏维埃共和国中央革命军事委员会成立，朱德任主席。,1931年11月25日,,成立事件,朱德,,,,,,,,,,
红色中华通讯社成立,新华社成立,红色中华通讯社成立。1937年1月，改名为新华社。,1931年11月,江西瑞金,成立事件,,,,,,,,,,,
宁都暴动,宁都起义,1931年12月14日，赵博生、董振堂等领导国民党第二十六路军一万七千余人，于江西宁都城所举行的武装起义。,1931年12月14日,江西宁都,运动事件,"赵博生,董振堂,季振同,黄中岳",,,,,,,,,,
红军第五军团成立,,起义部队进入中央苏区后，被改编为中国工农红军第五军团，下辖三个军。季振同任总指挥，萧劲光任政治委员，董振堂任副总指挥兼第十三军军长，赵博生任参谋长兼第十四军军长，黄中岳任第十五军军长，何长工、黄火青、左权分任各军政治委员,1931年12月,江西宁都,成立事件,"季振同,萧劲光",,,,,,,,,,
《红色中华》创刊,,中华苏维埃共和国临时中央政府机关报《红色中华》创刊。,1931年12月,江西瑞金,成立事件,,中华苏维埃共和国临时中央政府,,,,,,,,,
陕甘边区苏维埃政府成立,,,1934年11月,,成立事件,习仲勋,,,,,,,,,,
革命军事委员会成立,,,1934年11月,,成立事件,刘志丹,,,,,,,,,,
中央革命根据地第四次反“围剿”,,1932年年底－翌年3月 在周恩来、朱德指挥下，中央革命根据地取得第四次反“围剿”的胜利。,1932年,"江西,福建",战役事件,"蒋介石,陈诚,周恩来,朱德","红一方面军,国民党军队",,,,,,,,,
中国工农红军总司令部成立,,,1933年5月8日,,成立事件,"朱德,周恩来",,,,,,,,,,
红军第六军团成立,,6月中旬 红军第六军团组建。1934年8月，红六军团军政委员会正式成立，中央代表任弼时任军政委员会主席，萧克任军团长，王震任政治委员。,1934年6月,,成立事件,"任弼时,萧克,王震",,,,,,,,,,
红六军团军政委员会成立,,6月中旬 红军第六军团组建。1934年9月，红六军团军政委员会正式成立，中央代表任弼时任军政委员会主席，萧克任军团长，王震任政治委员。,1934年8月,,成立事件,"任弼时,萧克,王震",,,,,,,,,,
红军长征,,长征是人类历史上的伟大奇迹，中央红军共进行了600余次战役战斗，攻占700多座县城，红军牺牲了营以上干部多达430余人，平均年龄不到30岁，共击溃国民党军数百个团，期间共经过14个省，翻越18座大山，跨过24条大河，走过荒草地，翻过雪山，行程约二万五千里，红一方面军于1935年10月到达陕北革命根据地，与陕北红军胜利会师。1936年10月，红二、四方面军到达甘肃会宁地区，同红一方面军会师。红军三大主力会师，标志着万里长征的胜利结束。,1934年10月-1936年10月,"江西,福建,广东,湖南,广西,贵州,云南,四川,西藏,青海,河南,湖北,甘肃,陕西",战役事件,萧克,"红一方面军,红二方面军,红四方面军",,,,,,,,,
湘江战役,,1934年11月27日至12月1日，中央红军在湘江上游广西境内的兴安县、全州县、灌阳县，与国民党军苦战五昼夜，最终从全州、兴安之间强渡湘江，突破了国民党军的第四道封锁线，粉碎了蒋介石围歼中央红军于湘江以东的企图。但是，中央红军也为此付出了极为惨重的代价。部队指战员和中央机关人员由长征出发时的8万多人锐减至3万余人。,1934年11月27日-1934年12月1日,广西全州县,战役事件,"陈树湘,林彪,彭德怀","中央红军,国民党军",,,,,,,,,
南方游击战争,,中央红军主力长征后，中共中央决定成立以项英为首的苏区中央分局和中央军区、以陈毅为主任的中华苏维埃共和国中央政府办事处，领导留在南方根据地的红军和游击队坚持斗争。南方游击战争历时三年，地域范围包括八省十几个地区，有力配合了主力红军的战略转移，保留了革命力量。其间，瞿秋白等牺牲。,1934年-1937年,"江西,福建,广东,湖南,湖北,安徽,浙江,河南",战役事件,叶挺,"红军第六军团,中央红军,红军第二十五军团",,,,,,,,,
黎平会议 ,,中央政治局在贵州黎平召开会议，根据毛泽东的建议，通过决议，放弃到湘西北同红二、红六军团会合的计划，改向贵州北部进军。此前，中共中央负责人在湖南通道召开紧急会议，讨论转兵问题。,1934年12月18日,贵州,会议事件,毛泽东,中央政治局,,,,,,,,,
遵义会议 ,,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起草《中央关于反对敌人五次“围剿”的总结的决议》，取消长征前成立的“三人团”。会后不久，在向云南扎西地区转进途中，中央政治局常委决定由张闻天代替博古负总的责任，毛泽东为周恩来在军事指挥上的帮助者，后成立由毛泽东、周恩来、王稼祥组成的三人小组，负责全军的军事行动。遵义会议是党的历史上一个生死攸关的转折点。这次会议在红军第五次反“围剿”失败和长征初期严重受挫的历史关头召开，事实上确立了毛泽东在党中央和红军的领导地位，开始确立了以毛泽东为主要代表的马克思主义正确路线在党中央的领导地位，开始形成以毛泽东为核心的第一代中央领导集体，开启了党独立自主解决中国革命实际问题的新阶段，在最危急关头挽救了党、挽救了红军、挽救了中国革命。,1935年1月15日-1935年1月17日,贵州,会议事件,"毛泽东,周恩来,王稼祥,朱德,刘少奇",中央政治局,,,,,,,,,
四渡赤水,,四渡赤水战役是遵义会议之后，中央红军在长征途中，处于国民党几十万重兵围追堵截的艰险条件下，进行的一次决定性运动战战役。在毛泽东、周恩来、朱德等指挥下，中央红军采取高度机动的运动战方针，纵横驰骋于川黔滇边境广大地区，积极寻找战机，有效地调动和歼灭敌人，彻底粉碎了蒋介石企图围歼红军于川黔滇边境的狂妄计划，红军取得了战略转移中具有决定意义的胜利。,1935年1月19日-1935年3月22日,"贵州,四川,云南",战役事件,"毛泽东,周恩来,朱德",红一方面军；国民党军,,,,,,,,,
巧渡金沙江,,1935年5月3日，长征途中，中央红军军委干部团接到抢夺皎平渡的任务。他们在金沙江边找到一条敌军送探子来南岸探查情况的船，又在当地农民的协助下，从水里捞出一条破船。然后，他们乘坐这两条船渡到北岸。敌人以为探子回来了，没有在意。红军突然袭击，一举控制皎平渡两岸渡口。后来，又找到5条船，动员36名艄公。与此同时，红一军团赶到龙街渡口，红三军团赶到洪门渡，但这两个渡口都没有船只，加上江宽水急无法架桥。军委命令他们迅速转到皎平渡过江。,1935年5月,云南,战役事件,,"红军第一军团,红军第三军团",,,,,,,,,
强渡大渡河,,中国工农红军在四川省越西县（今属四川省石棉县）安顺场渡过大渡河的战斗，也是长征途中的一次著名战斗。,1935年5月24日-1935年5月25日,四川,战役事件,"刘伯承,聂荣臻,孙继先,熊尚林","中央红军,国民党军",,,,,,,,,
